Filename,File_Size,Index_of_Coincidence,Entropy,Nasty_Sig_Count,Super_Nasty_Sig_Count,Eval_Uses,Compression_Ratio,Longest_Word_Length,NonPrintableChars,ObfuscatedPHP,PasswordProtection,HiddenInAFile,DangerousPHP,DodgyPHP,SuspiciousEncoding,DodgyStrings,CloudflareBypass,Websites,Label
b4459b2e15,57702,0.029837066878988117,5.6182245702166576,20,0,3,0.2920176077085716,784,0,746,0,0,65,15,0,34,0,5,1
72ea7c97c2,1595,0.0229512710281109,6.100190840282936,0,0,0,0.6871473354231975,84,0,1,0,0,0,0,0,0,0,0,1
a17ecaf5ff,3205,0.04014389616337156,5.177328332267086,1,0,1,0.3828393135725429,58,0,1,0,0,1,0,0,0,0,0,1
f49c6d190f,1261,0.02744735218962023,6.160638463731541,0,0,0,0.6843774781919112,80,0,3,0,0,0,0,0,0,0,0,1
12db00382f,1467,0.03160945996088573,6.1812724604309635,0,0,0,0.6700749829584185,91,0,3,0,0,0,0,0,0,0,0,1
efeaf2a0ee,1568,0.02964116405975281,6.194324043655331,0,0,0,0.65625,92,0,4,0,0,0,0,0,0,0,0,1
feeb58d9c0,1424,0.022299185926235917,6.1411981120996275,0,0,0,0.7247191011235955,80,0,0,0,0,0,0,0,0,0,0,1
85c8423024,1172,0.022414551898409515,6.140584733592418,0,0,0,0.7261092150170648,80,0,0,0,0,0,0,0,0,0,0,1
79f8d302a0,2017,0.03234559813017919,6.146455916087514,0,0,0,0.6430342092216162,92,0,1,0,0,0,0,0,0,0,0,1
aca32e722e,1254,0.026184048236385784,6.127446285129474,0,0,0,0.6778309409888357,80,0,0,0,0,0,0,0,0,0,0,1
d370d17925,1332,0.030879489557175507,6.084284909131625,0,0,0,0.6501501501501501,81,0,1,0,0,0,0,0,0,0,0,1
736cf36c40,1730,0.03143318500787318,6.141399022577716,0,0,0,0.653179190751445,80,0,0,0,0,0,0,0,0,0,0,1
98edc3dad9,1343,0.02355537849843478,6.138137619999747,0,0,0,0.7043931496649293,80,0,0,0,0,0,0,0,0,0,0,1
2a8844a5c5,1802,0.029054644077990955,6.167641004221784,0,0,0,0.6637069922308546,90,0,0,0,0,0,0,0,0,0,0,1
f4f9ddd20c,1907,0.02364459430683113,6.151104723934745,0,0,0,0.6633455689564761,87,0,0,0,0,0,0,0,0,0,0,1
00c2067681,1731,0.022685941168024096,6.175672896022074,0,0,0,0.6909300982091277,80,0,0,0,0,0,0,0,0,0,0,1
7f7aebdfb0,1828,0.027061258367377737,6.078369267573745,0,0,0,0.6805251641137856,87,0,0,0,0,0,0,0,0,0,0,1
0b7af80de8,1652,0.030800908686935646,6.117688701382766,0,0,0,0.660411622276029,91,0,1,0,0,0,0,0,0,0,0,1
13b0800071,1386,0.023574580253280613,6.146413505696614,0,0,0,0.7063492063492064,82,0,0,0,0,0,0,0,0,0,0,1
e42f018cf7,1851,0.03438725597558661,6.079826465965351,0,0,0,0.6477579686655862,92,0,0,0,0,0,0,0,0,0,0,1
12fe613ce7,1093,0.020315762310272833,6.116210500916711,0,0,0,0.7255260750228728,80,0,0,0,0,0,0,0,0,0,0,1
2cc8dabbfa,1096,0.02041462520414625,6.172263479326203,0,0,0,0.7290145985401459,85,0,2,0,0,0,0,0,0,0,0,1
c782a1d6a3,1368,0.02279503929294096,6.131221695471582,0,0,0,0.7097953216374269,91,0,2,0,0,0,0,0,0,0,0,1
74b3b9cdd0,1874,0.02629058331020894,6.172829894854536,0,0,0,0.6616862326574173,80,0,0,0,0,0,0,0,0,0,0,1
1aab24cd0c,1436,0.02966816456863335,6.137519593115611,0,0,0,0.674791086350975,90,0,0,0,0,0,0,0,0,0,0,1
a7fe267fd6,1467,0.03160945996088573,6.1812724604309635,0,0,0,0.6700749829584185,91,0,3,0,0,0,0,0,0,0,0,1
712207281a,1568,0.02964116405975281,6.194324043655331,0,0,0,0.65625,92,0,4,0,0,0,0,0,0,0,0,1
5f64184e4a,1424,0.022299185926235917,6.1411981120996275,0,0,0,0.7247191011235955,80,0,0,0,0,0,0,0,0,0,0,1
dfcd7fac33,1172,0.022414551898409515,6.140584733592418,0,0,0,0.7261092150170648,80,0,0,0,0,0,0,0,0,0,0,1
4560ce16d9,2017,0.03234559813017919,6.146455916087514,0,0,0,0.6430342092216162,92,0,1,0,0,0,0,0,0,0,0,1
9c4eb563b6,1254,0.026184048236385784,6.127446285129474,0,0,0,0.6778309409888357,80,0,0,0,0,0,0,0,0,0,0,1
ec86e1b7dd,1332,0.030879489557175507,6.084284909131625,0,0,0,0.6501501501501501,81,0,1,0,0,0,0,0,0,0,0,1
ca0c3d84d4,1730,0.03143318500787318,6.141399022577716,0,0,0,0.653179190751445,80,0,0,0,0,0,0,0,0,0,0,1
e2955dcbcb,1343,0.02355537849843478,6.138137619999747,0,0,0,0.7043931496649293,80,0,0,0,0,0,0,0,0,0,0,1
c28ee8651f,1802,0.029054644077990955,6.167641004221784,0,0,0,0.6637069922308546,90,0,0,0,0,0,0,0,0,0,0,1
1258b0fd16,1907,0.02364459430683113,6.151104723934745,0,0,0,0.6633455689564761,87,0,0,0,0,0,0,0,0,0,0,1
e6ec66549e,1731,0.022685941168024096,6.175672896022074,0,0,0,0.6909300982091277,80,0,0,0,0,0,0,0,0,0,0,1
325ab2ab2b,1828,0.027061258367377737,6.078369267573745,0,0,0,0.6805251641137856,87,0,0,0,0,0,0,0,0,0,0,1
c54146ff2d,1652,0.030800908686935646,6.117688701382766,0,0,0,0.660411622276029,91,0,1,0,0,0,0,0,0,0,0,1
330c41c7fa,1386,0.023574580253280613,6.146413505696614,0,0,0,0.7063492063492064,82,0,0,0,0,0,0,0,0,0,0,1
716f21a529,1851,0.03438725597558661,6.079826465965351,0,0,0,0.6477579686655862,92,0,0,0,0,0,0,0,0,0,0,1
bb0eff7f12,1093,0.020315762310272833,6.116210500916711,0,0,0,0.7255260750228728,80,0,0,0,0,0,0,0,0,0,0,1
314346fb3e,1096,0.02041462520414625,6.172263479326203,0,0,0,0.7290145985401459,85,0,2,0,0,0,0,0,0,0,0,1
849bc052e0,1368,0.02279503929294096,6.131221695471582,0,0,0,0.7097953216374269,91,0,2,0,0,0,0,0,0,0,0,1
bf05db6590,1874,0.02629058331020894,6.172829894854536,0,0,0,0.6616862326574173,80,0,0,0,0,0,0,0,0,0,0,1
988d9bdbf3,1436,0.02966816456863335,6.137519593115611,0,0,0,0.674791086350975,90,0,0,0,0,0,0,0,0,0,0,1
ffd4a54b94,1591,0.02704995473753701,6.175101145693943,0,0,0,0.6668761785040854,80,0,0,0,0,0,0,0,0,0,0,1
f7662ed39a,1660,0.03190192959904718,6.158023617015795,0,0,0,0.655421686746988,80,0,0,0,0,0,0,0,0,0,0,1
7f3bff1545,1179,0.021885543704126112,6.135067084902037,0,0,0,0.7285835453774385,85,0,0,0,0,0,0,0,0,0,0,1
bf82ef51ac,60247,0.015660858122167203,6.004509677867124,2,0,0,0.757697478712633,60079,0,1,0,0,1,0,0,0,0,0,1
2af2d0db20,43294,0.02004365548474451,5.840923810990271,2,0,0,0.716635099551901,43287,0,1,0,0,1,1,0,0,0,0,1
4e16d33dc8,43294,0.02004365548474451,5.840923810990271,2,0,0,0.716635099551901,43287,0,1,0,0,1,1,0,0,0,0,1
8ee9549365,43525,0.020094528975965302,5.837840399010228,2,0,0,0.7164847788627225,43519,0,1,0,0,1,1,0,0,0,0,1
feec4f7919,43525,0.020094528975965302,5.837840399010228,2,0,0,0.7164847788627225,43519,0,1,0,0,1,1,0,0,0,0,1
b26efa2f0e,496,0.020935158031932227,5.821639481620926,0,0,0,0.6935483870967742,153,0,4,0,0,1,0,0,0,0,0,1
ff72b641a4,2155,0.014203327538255057,6.169610382189036,0,0,0,0.7568445475638051,1782,0,4,0,0,1,0,0,0,0,0,1
a30cf92c0f,44333,0.020107077456389857,5.835560533067499,2,0,0,0.7201181963774164,44327,0,1,0,0,1,1,0,0,0,0,1
469f786da7,90514,0.021167235537780868,5.7413439973838605,0,0,0,0.3327882979428597,90192,0,0,0,0,0,0,0,0,0,0,1
7f38dc30de,1052,0.024599060102093607,6.147403789089059,0,0,0,0.6929657794676806,88,0,0,0,0,0,0,0,0,0,0,1
bb1f8a4d0c,1521,0.019928890273019827,6.206551046913583,0,0,0,0.7120315581854043,84,0,0,0,0,0,0,0,0,0,0,1
14f9dee758,1458,0.02624386505522274,6.098630050747699,0,0,0,0.7160493827160493,86,0,0,0,0,0,0,0,0,0,0,1
6d5697a31e,1513,0.02836964998234,6.150856380434222,0,0,0,0.6966292134831461,89,0,0,0,0,0,0,0,0,0,0,1
2a18cf6156,1391,0.02734640468789598,6.093770135423665,0,0,0,0.6671459381739756,80,0,2,0,0,0,0,0,0,0,0,1
0c583201ff,1209,0.024733099984114725,6.133369323032653,0,0,0,0.7088502894954508,86,0,0,0,0,0,0,0,0,0,0,1
ca601d26bb,1463,0.03276815343918807,6.156034273732761,0,0,0,0.6602870813397129,80,0,0,0,0,0,0,0,0,0,0,1
d78e9319e4,1386,0.03501232021087617,6.132970432933468,0,0,0,0.6587301587301587,80,0,0,0,0,0,0,0,0,0,0,1
c02188a351,1550,0.036340615173160624,6.056743577847639,0,0,0,0.6490322580645161,92,0,4,0,0,0,0,0,0,0,0,1
c0f0e6191c,1383,0.024203345775087818,6.114115705722971,0,0,0,0.7071583514099783,86,0,0,0,0,0,0,0,0,0,0,1
21c6df95ca,1392,0.02302052604179578,6.177963172004823,0,0,0,0.6925287356321839,87,0,1,0,0,0,0,0,0,0,0,1
be9a980cc1,1281,0.02541349531615925,6.073492987916182,0,0,0,0.7041373926619828,80,0,0,0,0,0,0,0,0,0,0,1
b2d9856de2,1775,0.03388221096590819,6.154077003297186,0,0,0,0.6507042253521127,86,0,0,0,0,0,0,0,0,0,0,1
276e07a721,1681,0.03574048893799042,6.152823175989598,0,0,0,0.652587745389649,80,0,0,0,0,0,0,0,0,0,0,1
42adf5ae3f,1832,0.023855291808470805,6.158363384038309,0,0,0,0.6834061135371179,80,0,0,0,0,0,0,0,0,0,0,1
846b27f26b,1559,0.030733798779870248,6.166791933185084,0,0,0,0.6510583707504811,81,0,1,0,0,0,0,0,0,0,0,1
45e2a75adf,1577,0.025921479130521553,6.1608680053482265,0,0,0,0.6797717184527584,80,0,2,0,0,0,0,0,0,0,0,1
4dae347b8c,1429,0.028475770994191938,6.075703130980967,0,0,0,0.6745976207137858,80,0,0,0,0,0,0,0,0,0,0,1
185a008133,1364,0.022740719862817702,6.1632696209022395,0,0,0,0.6920821114369502,80,0,0,0,0,0,0,0,0,0,0,1
c74d1481eb,2046,0.03463947782900382,6.170876601784197,0,0,0,0.6329423264907136,80,0,0,0,0,0,0,0,0,0,0,1
23d085be4a,1344,0.02129427720455271,6.163171233437639,0,0,0,0.7194940476190477,80,0,0,0,0,0,0,0,0,0,0,1
767991ab56,1279,0.024810316158090057,6.095339663755532,0,0,0,0.7130570758405004,80,0,2,0,0,0,0,0,0,0,0,1
a8be3f6bec,1621,0.030087356531938066,6.116520545456822,0,0,0,0.6785934608266502,90,0,0,0,0,0,0,0,0,0,0,1
61ccfd0e52,1377,0.023933475198865076,6.148466915748122,0,0,0,0.7087872185911401,80,0,1,0,0,0,0,0,0,0,0,1
